FIPS,2010 RR_Level,2011 RR_Level,2012 RR_Level,2013 RR_Level,2014 RR_Level,2015 RR_Level,2016 RR_Level,2017 RR_Level,2018 RR_Level,2019 RR_Level,2020 RR_Level,2021 RR_Level,2022 RR_Level
06071,9,8,8,8,7,7,6,8,9,9,11,10,9
06073,13,13,13,12,11,11,10,10,10,10,11,11,11
06075,17,18,15,14,15,16,14,13,15,19,19,18,18
06077,16,16,14,14,14,13,11,13,11,11,10,10,8
06079,15,14,13,13,11,14,11,10,11,12,14,15,12
06081,10,10,9,8,9,9,7,8,8,9,8,7,6
06083,12,10,10,12,11,13,11,10,11,12,10,11,11
06085,9,9,9,9,8,8,7,7,8,9,8,7,7
06087,16,17,17,15,16,14,12,11,11,13,11,12,13
06089,18,19,19,18,16,13,13,12,12,13,13,15,14
06091,18,18,0,18,19,0,0,0,12,0,13,0,0
06093,19,18,18,17,16,18,18,13,11,14,11,15,17
06095,13,13,9,12,13,11,9,9,12,12,9,10,11
06097,16,11,13,9,13,13,9,10,11,13,14,12,9
06099,16,15,13,13,11,14,10,9,10,10,11,11,12
06101,16,14,12,15,12,9,8,8,11,12,9,13,14
06103,19,17,16,18,19,16,16,15,15,17,15,13,16
06105,19,18,18,18,18,17,17,15,15,16,14,16,18
06107,8,9,8,9,8,9,8,7,9,7,8,8,8
06109,19,18,17,17,19,19,16,15,8,14,9,12,14
06111,13,13,13,14,12,11,10,12,11,11,11,12,11
06113,9,10,11,12,11,12,11,9,8,9,8,6,8
06115,17,17,15,17,18,13,14,13,12,11,10,12,16
08001,15,17,17,15,15,13,13,13,13,12,12,15,14
08003,9,16,7,16,0,13,6,8,6,12,17,19,16
08005,14,13,14,15,14,13,11,9,11,11,10,10,10
08007,0,16,18,0,0,15,15,15,13,14,14,12,15
08009,0,0,0,0,0,0,0,0,0,0,0,0,0
08011,6,6,0,0,0,17,0,6,0,0,5,11,4
08013,10,13,11,15,13,11,9,10,9,10,8,6,7
08014,12,14,14,16,13,12,12,11,12,10,7,6,7
08015,10,10,8,9,7,12,9,10,8,10,12,9,11
08017,0,0,0,0,0,0,0,0,0,0,0,0,0
08019,8,7,13,7,13,7,0,7,0,7,11,0,12
08021,15,19,19,19,19,18,16,17,0,17,18,17,19
08023,14,17,17,19,17,0,0,0,10,13,15,0,17
08025,0,0,10,10,0,0,9,8,10,0,10,15,8
08027,14,0,11,18,0,18,13,0,15,0,17,0,0
08029,0,17,16,8,12,16,12,15,7,18,12,15,12
08031,17,18,17,15,15,13,13,13,14,14,17,17,15
08033,0,0,0,0,6,0,9,0,0,0,0,0,0
08035,10,10,10,10,8,7,9,8,7,8,7,5,5
08037,9,9,8,7,8,7,8,10,6,8,10,7,13
08039,10,10,13,11,13,10,12,9,11,9,12,16,11
08041,13,15,14,15,16,16,15,15,15,15,16,16,17
08043,13,12,12,17,11,16,18,15,15,13,17,11,15
08045,10,16,11,10,8,9,14,11,6,11,9,7,7
08047,0,0,13,0,13,0,0,0,0,8,10,6,0
08049,8,0,11,0,12,0,7,8,6,0,8,5,19
08051,7,11,8,0,8,10,7,8,0,11,7,7,7
08053,0,0,0,5,0,0,0,0,0,0,0,0,0
08055,11,10,12,18,8,17,9,7,12,11,15,16,12
08057,0,0,12,0,14,0,0,8,0,0,0,0,0
08059,12,13,14,14,13,12,11,11,11,11,12,12,11
08061,0,0,0,0,0,0,0,0,0,0,0,5,0
08063,0,0,0,0,0,0,0,0,0,0,0,0,0
08065,10,9,0,9,0,9,0,10,0,9,12,9,11
08067,7,7,16,7,7,14,11,7,7,9,7,8,13
08069,14,16,13,16,14,12,9,10,10,10,8,9,7
08071,8,8,11,14,9,19,7,7,9,7,8,19,9
08073,0,0,9,0,9,0,8,0,9,0,9,10,7
08075,7,7,7,6,6,6,5,0,5,6,5,6,4
08077,15,17,16,13,12,16,12,15,10,12,12,9,9
08079,0,0,0,0,0,0,0,0,0,0,0,0,0
08081,6,12,10,0,14,8,14,7,0,12,8,10,8
08083,8,8,0,7,8,8,18,8,8,10,7,15,9
08085,7,11,11,8,9,10,8,9,6,12,7,7,14
08087,10,11,11,10,9,9,9,7,9,8,10,13,7
08089,8,8,9,10,8,17,8,10,8,7,10,16,9
08091,0,0,0,6,6,0,0,0,0,7,0,0,0
08093,11,11,11,13,10,12,10,12,9,11,14,10,13
