FIPS,2010 RR_Level,2011 RR_Level,2012 RR_Level,2013 RR_Level,2014 RR_Level,2015 RR_Level,2016 RR_Level,2017 RR_Level,2018 RR_Level,2019 RR_Level,2020 RR_Level,2021 RR_Level,2022 RR_Level
12021,12,13,13,14,13,13,14,13,14,13,13,14,14
12023,7,15,8,11,12,13,16,12,12,13,15,13,14
12027,17,11,12,12,12,12,12,12,13,12,12,13,14
12029,14,15,2,16,15,13,15,12,12,17,14,12,13
12031,11,12,11,12,12,12,5,4,11,6,7,11,11
12033,13,14,14,15,13,12,14,13,12,11,11,6,4
12035,12,11,13,14,13,14,14,13,13,12,11,15,13
12037,17,16,17,17,14,16,17,14,14,13,15,16,13
12039,16,16,16,16,15,17,16,15,16,15,14,16,14
12041,17,17,8,17,14,14,17,13,13,15,15,13,14
12043,17,12,12,12,13,13,12,12,12,12,12,12,13
12045,17,16,16,17,12,16,17,13,13,11,14,15,13
12047,14,16,17,14,15,14,17,13,17,15,16,15,13
12049,12,11,13,12,12,12,11,12,13,12,11,13,13
12051,13,17,12,13,14,13,12,12,12,12,12,12,15
12053,3,10,11,7,13,13,12,13,12,11,12,11,11
12055,13,11,13,11,12,14,12,13,13,12,11,13,14
12057,11,11,12,13,14,14,13,14,13,13,12,12,12
12059,13,15,12,17,17,15,14,14,14,12,13,12,13
12061,12,11,12,14,12,14,12,14,12,13,13,12,14
12063,14,15,15,16,15,16,15,14,14,13,13,14,14
12065,16,17,12,16,17,17,16,15,15,16,16,14,14
12067,16,16,5,16,16,14,17,12,13,16,18,13,13
12069,13,12,14,14,14,13,14,12,14,11,13,13,13
12071,11,12,14,14,14,13,13,11,11,11,11,12,12
12073,15,15,16,16,15,16,15,15,15,15,15,16,16
12075,6,13,2,14,13,13,12,12,12,13,11,12,12
12077,17,17,17,16,15,17,17,15,14,13,14,18,14
12079,16,16,12,16,17,15,17,14,14,16,16,14,13
12081,9,10,12,11,11,3,4,11,12,11,12,12,12
12083,11,12,12,12,12,13,5,10,9,11,8,11,11
12085,12,11,13,12,14,13,12,12,11,12,12,13,15
12086,16,15,15,16,16,15,15,15,15,15,16,16,16
12087,8,4,12,12,13,11,7,12,12,8,12,11,11
12089,11,11,9,11,15,12,11,11,12,14,11,14,12
12091,13,13,14,15,14,11,12,13,11,12,12,12,11
12093,12,4,6,13,13,11,12,12,11,12,12,12,11
12095,12,13,14,14,13,13,13,14,13,13,13,14,14
12097,14,12,13,14,13,14,14,13,12,13,14,14,14
12099,11,12,12,12,12,11,6,7,11,11,11,12,13
12101,2,5,10,11,11,11,11,11,11,10,8,11,10
