FIPS,MortalityRate,Aged 17 or Younger,Aged 65 or Older,Below Poverty,Crowding,Group Quarters,Limited English Ability,Minority Status,Mobile Homes,Multi-Unit Structures,No High School Diploma,No Vehicle,Single-Parent Household,Unemployment,Year,Anomaly,AnomalyScore,HighMortality
51051,48.46,20.01,63.04,75.97,8.11,55.47,7.06,0.47,96.05,53.81,98.56,79.82,28.42,76.16,2010,0,-0.08533538181205597,True
51105,43.6,14.13,55.5,83.64,4.9,86.95,18.61,28.51,75.9,47.8,92.71,94.65,39.24,42.52,2010,0,-0.08262706865901337,True
51167,48.45,15.34,59.22,66.16,13.14,39.87,30.04,4.58,95.06,24.95,92.83,84.97,24.79,30.46,2010,0,-0.059629595679791536,True
51185,28.84,14.7,67.05,64.76,12.03,74.25,23.8,22.56,87.81,41.94,83.32,84.75,31.54,50.89,2010,0,-0.09714672230048138,True
51195,31.36,18.39,34.78,80.8,35.7,89.21,28.38,32.3,89.11,40.83,94.11,88.6,62.44,64.74,2010,0,-0.10006156162301577,True
54003,19.2,75.9,12.79,19.25,53.4,14.22,46.4,49.84,61.58,71.67,48.47,62.63,75.14,67.79,2010,0,-0.04796189496602149,False
54005,69.02,43.22,35.13,76.73,11.74,6.46,7.19,0.73,95.89,33.92,92.67,93.06,47.61,42.62,2010,0,-0.0781684260442832,True
54009,24.59,7.19,80.42,25.27,6.04,74.06,18.42,10.4,25.55,63.2,30.29,85.55,26.63,68.94,2010,0,-0.007627436526729037,True
54011,30.11,10.18,54.55,81.92,7.98,77.3,16.26,37.14,31.44,86.12,43.95,95.79,51.2,41.02,2010,0,-0.04391879609944793,True
54015,15.87,54.77,51.24,90.26,64.51,11.42,0.0,0.25,90.7,41.56,89.65,92.64,31.69,63.14,2010,0,-0.10073903004421442,False
54019,32.58,16.35,64.35,84.08,9.42,76.83,13.94,30.14,64.7,42.17,79.98,94.33,50.95,62.06,2010,0,-0.08622984529845712,True
54025,31.0,13.08,81.19,76.98,47.29,46.94,17.47,26.22,64.57,18.07,77.14,69.25,32.36,47.8,2010,0,-0.07275482497096752,True
54029,35.86,13.2,78.07,50.66,13.81,10.21,14.92,20.78,40.67,56.77,32.84,68.23,41.94,77.91,2010,0,-0.04126394514017118,True
54035,12.96,39.11,71.06,71.0,39.68,7.82,7.16,2.73,74.85,42.64,60.94,71.22,36.53,66.68,2010,0,-0.09726731660269305,False
54039,25.38,16.74,62.95,44.46,14.19,44.2,20.08,43.31,45.89,78.29,42.96,92.36,59.0,43.16,2010,0,-0.0657999715921726,True
54043,59.85,41.18,45.44,94.46,69.6,3.43,6.87,0.06,98.05,25.27,97.7,91.91,48.5,73.11,2010,0,-0.08991453662314863,True
54045,57.15,15.18,45.98,85.83,57.16,29.85,7.12,14.03,84.11,42.8,85.07,92.07,41.5,73.01,2010,0,-0.1214191090890932,True
54047,108.53,12.28,60.56,98.21,56.17,55.85,24.95,42.58,82.97,29.69,99.45,98.69,59.0,28.96,2010,0,-0.04635921258512693,True
54053,20.36,28.19,65.11,74.76,43.92,59.48,10.66,4.32,82.68,29.53,72.94,86.4,45.63,79.76,2010,0,-0.11526460513146358,False
54055,51.39,16.35,73.58,88.25,23.77,51.3,47.64,36.44,84.88,58.27,72.5,84.21,56.74,40.36,2010,0,-0.08198600090463876,True
54059,52.16,31.73,28.26,85.23,57.54,3.66,7.63,9.48,91.47,58.75,95.16,89.08,42.71,80.49,2010,0,-0.09368675083129224,True
54067,29.65,22.37,65.59,73.55,23.42,7.82,0.0,2.0,85.74,38.57,69.41,75.46,33.54,55.89,2010,0,-0.08442909774332813,True
54069,23.17,7.32,76.67,58.11,14.95,84.56,22.81,31.25,13.52,85.83,22.34,94.17,35.8,43.22,2010,0,-0.030694472143170115,True
54081,57.06,18.52,55.79,68.17,4.1,80.96,54.45,45.44,63.59,61.96,75.14,85.61,47.61,39.15,2010,0,-0.05108116982082722,True
54089,71.8,4.64,81.12,85.35,7.38,92.93,7.79,33.16,67.28,33.29,82.78,90.77,35.16,17.73,2010,0,-0.01312850925354414,True
54099,40.02,36.76,60.31,80.2,56.65,7.28,6.68,1.2,74.02,53.78,76.19,86.37,46.53,45.42,2010,0,-0.0824266641087189,True
54109,109.26,25.81,45.06,66.74,10.12,3.05,29.31,2.7,91.4,23.9,90.35,93.44,23.32,23.77,2010,0,-0.027722177279970395,True
06033,52.86,22.21,71.64,78.67,82.65,43.6,86.17,67.08,83.97,49.79,44.86,59.52,70.97,92.51,2011,1,0.002094581102330184,True
17201,13.27,72.05,31.3,58.11,50.81,40.39,80.27,68.95,6.13,84.73,50.57,75.72,84.56,83.03,2011,0,-0.0297765602779968,False
18041,22.61,57.6,61.74,76.97,61.15,42.42,32.36,11.48,29.33,68.73,78.77,85.28,73.27,91.52,2011,0,-0.0566615142164551,False
18161,23.01,71.48,39.95,27.71,37.84,16.32,41.94,7.92,52.93,57.43,47.51,18.78,54.06,40.92,2011,0,-0.05516140297003086,True
18177,21.85,46.21,59.01,63.84,36.7,75.58,49.58,41.73,17.09,79.81,59.49,87.7,76.45,84.27,2011,0,-0.08352021279383748,False
21013,59.18,29.47,51.23,97.01,60.92,71.63,20.02,19.81,83.67,50.9,98.03,98.0,74.06,80.73,2011,0,-0.10735122600534602,True
21019,24.26,25.85,60.82,71.14,13.83,79.88,26.71,26.31,50.62,80.43,50.42,87.99,57.96,60.77,2011,0,-0.09777930912789295,True
21025,67.18,44.1,27.97,98.13,39.03,60.87,31.07,2.45,98.39,12.05,98.82,97.08,58.63,89.24,2011,0,-0.08598584799331538,True
21037,37.39,42.94,21.25,29.24,24.07,70.64,19.6,28.36,9.92,93.9,35.27,80.35,57.56,46.28,2011,0,-0.045330409150750095,True
21043,35.39,50.58,42.35,78.06,36.04,59.48,10.65,5.83,94.79,35.09,89.2,68.89,44.87,70.93,2011,0,-0.11916948815540046,True
21049,36.58,52.31,36.54,55.67,59.95,28.88,54.23,36.56,43.71,67.12,63.91,71.52,70.08,63.0,2011,0,-0.09781588642900846,True
21051,115.1,29.72,16.48,98.75,32.69,93.13,19.06,29.49,96.58,28.6,99.46,95.79,68.47,99.18,2011,0,-0.061194114457313376,True
21065,19.32,41.11,47.68,93.3,20.66,11.36,41.1,1.08,86.7,28.66,96.46,91.86,74.48,89.7,2011,0,-0.08864256347933774,False
21071,96.92,38.12,28.9,95.81,66.83,54.52,10.91,2.2,90.73,46.14,95.21,89.74,67.13,73.83,2011,0,-0.11925675133830987,True
21077,8.74,87.88,12.59,79.33,66.79,19.31,59.59,31.44,98.3,71.35,90.81,49.57,73.91,80.82,2011,0,-0.015924869683015208,False
21081,21.85,92.19,9.72,66.65,82.55,46.6,31.86,18.62,83.08,39.5,71.42,19.27,84.51,71.13,2011,0,-0.0017616069530568268,False
21089,27.66,39.29,65.36,54.06,30.25,26.77,14.3,7.91,64.51,37.98,67.99,62.55,38.7,72.71,2011,0,-0.09334793994374457,True
21095,37.85,44.98,36.33,97.44,75.52,55.61,22.75,15.88,84.06,40.33,96.52,93.42,57.46,64.57,2011,0,-0.08881005316339435,True
21109,0.0,52.55,32.24,98.12,74.0,12.02,7.21,0.31,89.26,15.71,98.64,80.77,58.58,88.76,2011,0,-0.08837117378435011,False
21115,81.21,40.17,34.77,87.37,58.67,56.94,6.08,1.51,90.25,54.1,95.23,82.93,40.07,69.93,2011,0,-0.11534756693516873,True
21117,36.16,74.36,11.66,30.11,52.18,37.56,57.76,39.97,9.64,90.03,35.47,81.52,74.86,43.54,2011,0,-0.044432919030724494,True
21119,75.07,27.92,26.89,91.39,30.99,77.51,20.97,1.83,95.45,36.65,97.5,92.01,54.95,83.54,2011,0,-0.10603899804045841,True
21121,72.13,68.45,40.69,99.05,64.59,53.54,22.97,9.54,96.78,29.19,98.55,97.04,75.28,95.94,2011,0,-0.08971804857288745,True
21127,54.25,48.97,34.19,90.11,40.76,9.0,47.85,1.05,94.58,42.51,92.52,68.56,28.03,83.44,2011,0,-0.07037549601942827,True
21129,36.72,10.07,26.46,97.88,60.77,95.52,42.76,14.87,92.7,26.78,97.72,92.51,59.62,72.36,2011,0,-0.058542478473990966,True
21131,69.55,26.93,34.95,90.66,13.32,52.37,0.0,0.27,94.17,13.81,99.62,91.68,37.42,80.88,2011,0,-0.09288226022628582,True
21133,81.81,34.03,36.1,93.02,52.88,17.48,11.35,0.72,94.11,36.19,92.83,96.67,46.69,72.83,2011,0,-0.11152937275910951,True
21135,32.86,57.47,41.46,95.96,68.09,19.14,13.77,0.54,90.91,28.75,96.87,91.59,58.39,93.33,2011,0,-0.11022079048262567,True
21153,80.1,59.73,23.7,95.92,37.65,17.38,10.76,0.85,99.62,29.21,98.24,87.69,48.63,77.75,2011,0,-0.0887924021792616,True
21159,68.82,24.47,12.47,98.36,39.67,95.65,4.3,38.34,97.38,16.41,97.6,92.66,70.09,98.72,2011,0,-0.03263700089912969,True
21161,25.82,65.73,43.73,80.79,22.72,45.92,46.18,40.06,45.77,76.57,75.81,80.53,77.95,63.8,2011,0,-0.08300531827714819,True
21173,34.44,67.94,22.52,84.91,49.13,33.75,40.29,28.32,70.29,55.66,81.25,86.7,76.32,59.59,2011,0,-0.08613009920866976,True
21175,62.82,15.84,24.99,91.42,58.39,96.6,64.44,26.43,93.91,42.8,95.97,71.84,42.61,43.27,2011,0,-0.03834712587869338,True
21189,60.39,30.38,63.98,99.58,47.29,49.59,0.0,4.28,94.36,3.04,99.56,91.18,81.45,96.45,2011,0,-0.05673552842811985,True
21191,24.41,67.02,18.52,65.31,63.1,37.26,16.21,3.43,81.84,56.73,73.39,54.86,57.64,66.97,2011,0,-0.07739587666588538,True
21193,66.08,30.15,26.58,94.85,80.95,55.51,8.26,12.42,95.77,44.74,96.41,97.48,68.79,85.44,2011,0,-0.10119527087887953,True
21197,30.87,70.45,23.53,94.03,73.14,37.89,3.67,5.28,86.14,22.06,93.6,88.74,78.22,68.55,2011,0,-0.08546190561049999,True
22063,28.41,90.49,6.04,29.22,77.2,14.09,40.24,39.53,92.69,45.88,57.07,15.46,84.02,28.23,2011,1,0.02072519550357943,True
22087,13.97,81.83,3.39,53.03,79.06,12.09,78.34,73.69,52.05,24.08,71.69,32.49,97.42,85.12,2011,1,0.05272895258732957,False
22117,15.32,75.36,38.46,93.25,82.82,72.2,26.91,76.3,81.76,31.29,80.46,89.79,85.75,95.63,2011,0,-0.024858769549480964,False
24015,32.45,73.33,14.95,13.77,32.9,40.73,57.17,46.46,31.24,60.97,39.14,31.6,66.45,47.63,2011,0,-0.037593718464543624,True
24510,22.6,26.89,13.76,84.96,57.25,76.66,73.61,97.44,0.39,95.99,77.11,99.4,96.73,90.54,2011,1,0.01087747633075642,False
29099,24.15,74.8,11.94,16.28,37.76,14.63,37.02,18.0,55.71,57.73,44.16,23.53,64.06,55.08,2011,0,-0.049556583422925626,True
29221,19.14,60.54,27.91,83.23,70.18,78.16,22.08,19.85,97.32,9.48,94.26,57.71,68.88,95.53,2011,0,-0.05545463301919995,False
29510,28.61,22.32,10.15,93.99,68.11,74.43,78.04,92.8,1.02,96.89,66.57,99.18,91.27,93.55,2011,1,0.002363746136069045,True
34007,23.38,64.65,21.92,27.35,54.89,35.93,88.84,81.91,2.24,94.8,44.85,93.84,84.62,76.31,2011,1,0.007054639449680877,True
35028,40.47,62.67,43.6,0.33,24.88,6.19,32.39,64.63,14.38,90.24,0.03,4.87,13.23,5.24,2011,1,0.1040350387228951,True
35039,71.7,69.52,34.66,79.38,85.73,25.47,87.96,99.34,98.43,13.83,75.83,48.7,91.86,86.63,2011,1,0.05220697781683614,True
39001,36.84,74.47,41.99,88.9,51.7,26.12,31.59,6.25,89.8,28.19,86.17,63.49,73.55,90.9,2011,0,-0.0874265966652687,True
39015,33.57,68.04,38.38,36.81,34.04,28.83,5.7,5.92,71.41,37.64,68.58,42.45,64.75,78.76,2011,0,-0.0635754902748984,True
39017,23.78,75.59,13.82,37.47,38.21,68.02,62.88,53.04,10.32,87.37,34.98,52.23,69.47,58.09,2011,0,-0.04199460634830221,True
39025,24.1,79.77,15.33,14.65,25.41,13.09,40.38,21.32,28.66,91.05,34.8,28.7,53.0,41.32,2011,0,-0.012215203022347576,True
39053,29.26,58.69,53.38,81.27,37.42,66.89,11.37,24.35,84.99,37.94,69.73,84.05,61.55,68.94,2011,0,-0.11659259854018045,True
39079,32.42,67.25,34.67,88.47,55.23,17.41,42.44,9.8,75.02,48.61,70.52,86.57,76.1,89.3,2011,0,-0.07557044391312606,True
39087,27.2,52.41,50.0,72.57,43.93,20.29,5.8,18.59,68.43,36.76,60.12,64.56,68.2,49.0,2011,0,-0.09964563876359533,True
39101,19.63,32.59,35.87,67.62,40.38,91.28,18.73,39.93,20.53,70.82,56.47,70.7,78.6,61.03,2011,0,-0.08108215577246414,False
39113,24.55,46.04,45.35,58.48,22.04,65.78,51.42,68.62,4.06,88.41,32.54,86.46,83.15,78.38,2011,0,-0.023127091924490584,True
39131,45.41,71.53,40.11,89.42,57.15,45.29,10.86,12.71,87.89,37.65,80.1,77.82,80.64,98.37,2011,0,-0.09769209231515674,True
39141,25.56,38.71,27.79,67.82,33.77,90.56,37.05,39.04,57.56,62.21,59.48,51.17,75.93,90.02,2011,0,-0.056086835029723225,True
39145,31.53,41.89,47.99,83.85,28.5,79.44,35.53,26.4,63.04,74.37,65.92,82.7,71.68,88.85,2011,0,-0.09697087454971698,True
39155,28.67,33.01,68.82,55.01,25.54,49.28,27.71,44.04,20.17,74.42,38.82,64.29,68.64,67.41,2011,0,-0.08038714489935561,True
39163,24.72,69.33,33.02,79.27,72.95,6.32,2.25,3.7,87.37,36.84,81.02,60.54,73.47,80.19,2011,0,-0.09212257699119808,True
42021,18.79,10.95,78.12,43.59,8.24,84.1,28.14,28.32,17.51,68.41,32.24,91.08,34.05,54.12,2011,0,-0.04920958193800795,False
42051,31.6,14.41,72.83,74.34,24.16,69.77,18.6,29.81,52.29,60.21,56.59,88.14,55.66,74.04,2011,0,-0.10070969307807737,True
42073,24.3,23.36,77.75,37.94,18.88,61.53,41.44,29.11,31.32,61.75,37.76,79.04,47.79,51.57,2011,0,-0.07727650836673267,True
42101,28.38,39.61,16.31,92.49,65.81,74.05,91.44,95.2,0.74,94.36,71.86,99.53,95.46,93.79,2011,1,0.014521784985986774,True
47001,23.93,30.28,68.25,60.36,30.34,40.03,49.34,37.54,52.73,78.35,54.3,64.35,55.92,52.47,2011,0,-0.08579795164034398,True
47021,30.71,71.97,10.81,21.56,40.8,9.97,47.91,23.77,57.19,50.18,63.81,6.15,52.71,37.27,2011,0,-0.028095332175019916,True
47025,42.06,19.77,55.55,79.5,31.34,75.68,33.96,11.71,88.51,35.96,94.52,63.54,39.52,68.42,2011,0,-0.09544631080204008,True
47129,27.48,21.07,31.42,77.64,69.88,95.43,40.05,26.3,93.53,10.29,81.58,43.28,48.76,63.5,2011,0,-0.038674596049921295,True
47145,40.86,18.73,77.92,45.86,31.07,26.92,30.46,27.02,69.56,46.59,64.04,37.8,30.32,67.16,2011,0,-0.07848431065046274,True
47173,27.7,57.23,32.12,85.41,50.52,11.18,11.98,6.73,92.0,25.64,96.61,38.52,52.71,58.97,2011,0,-0.07983988326126257,True
51021,54.2,3.73,69.33,30.38,15.45,94.22,16.31,19.47,90.45,3.33,60.11,28.72,11.52,33.09,2011,1,0.025929422764869647,True
51027,42.41,5.87,58.68,86.04,5.68,80.12,38.07,12.34,97.1,15.49,98.4,89.73,29.15,90.22,2011,0,-0.04857993984907333,True
51051,63.53,20.67,63.22,75.52,16.73,54.09,8.46,0.55,96.55,51.72,97.7,82.44,25.97,72.87,2011,0,-0.08866565415745364,True
51105,40.49,13.58,56.59,85.54,18.14,86.11,19.58,28.07,75.9,41.42,93.12,89.98,35.15,52.48,2011,0,-0.09620642655710254,True
