FIPS Code,2010 Community Health,2011 Community Health,2012 Community Health,2013 Community Health,2014 Community Health,2015 Community Health,2016 Community Health,2017 Community Health,2018 Community Health,2019 Community Health,2020 Community Health,2021 Community Health,2022 Community Health
02070,0,0,0,0,0,0,0,0,37.05256629,0,0,0,0
02090,0,0,0,0,0,0,0,0,26.99480686,0,0,0,0
02100,0,0,0,0,0,0,0,0,69.174011,0,0,0,0
02105,0,0,0,0,0,0,0,0,50.47609297,0,0,0,0
02110,0,0,0,0,0,0,0,0,37.41965673,0,0,0,0
02122,0,0,0,0,0,0,0,0,31.70767489,0,0,0,0
02130,0,0,0,0,0,0,0,0,34.92119935,0,0,0,0
02150,0,0,0,0,0,0,0,0,34.46316658,0,0,0,0
02158,0,0,0,0,0,0,0,0,23.73316347,0,0,0,0
02164,0,0,0,0,0,0,0,0,41.98753583,0,0,0,0
02170,0,0,0,0,0,0,0,0,23.21910744,0,0,0,0
02180,0,0,0,0,0,0,0,0,29.4939216,0,0,0,0
02185,0,0,0,0,0,0,0,0,21.29665704,0,0,0,0
02188,0,0,0,0,0,0,0,0,25.30170382,0,0,0,0
02195,0,0,0,0,0,0,0,0,25.05192336,0,0,0,0
02198,0,0,0,0,0,0,0,0,37.03872052,0,0,0,0
02220,0,0,0,0,0,0,0,0,42.13253278,0,0,0,0
02230,0,0,0,0,0,0,0,0,67.78605546,0,0,0,0
02240,0,0,0,0,0,0,0,0,40.15471762,0,0,0,0
02261,0,0,0,0,0,0,0,0,54.01520492,0,0,0,0
02275,0,0,0,0,0,0,0,0,19.08398485,0,0,0,0
02282,0,0,0,0,0,0,0,0,46.98445059,0,0,0,0
02290,0,0,0,0,0,0,0,0,40.52312507,0,0,0,0
04001,0,0,0,0,0,0,0,0,6.041188249,0,0,0,0
04003,0,0,0,0,0,0,0,0,9.830726572,0,0,0,0
04005,0,0,0,0,0,0,0,0,8.956166281,0,0,0,0
04007,0,0,0,0,0,0,0,0,10.82325535,0,0,0,0
04009,0,0,0,0,0,0,0,0,7.491753234,0,0,0,0
04011,0,0,0,0,0,0,0,0,8.338635725,0,0,0,0
04012,0,0,0,0,0,0,0,0,9.698915747,0,0,0,0
04013,0,0,0,0,0,0,0,0,3.459026366,0,0,0,0
04015,0,0,0,0,0,0,0,0,3.785255181,0,0,0,0
04017,0,0,0,0,0,0,0,0,7.59588855,0,0,0,0
04019,0,0,0,0,0,0,0,0,5.235831619,0,0,0,0
04021,0,0,0,0,0,0,0,0,1.120064481,0,0,0,0
04023,0,0,0,0,0,0,0,0,6.658716514,0,0,0,0
04025,0,0,0,0,0,0,0,0,9.310077477,0,0,0,0
04027,0,0,0,0,0,0,0,0,1.78635643,0,0,0,0
05001,0,0,0,0,0,0,0,0,18.06471048,0,0,0,0
05003,0,0,0,0,0,0,0,0,17.87753833,0,0,0,0
05005,0,0,0,0,0,0,0,0,12.26902528,0,0,0,0
05007,0,0,0,0,0,0,0,0,5.33515699,0,0,0,0
05009,0,0,0,0,0,0,0,0,14.34437353,0,0,0,0
05011,0,0,0,0,0,0,0,0,18.51615821,0,0,0,0
05013,0,0,0,0,0,0,0,0,15.58009086,0,0,0,0
05015,0,0,0,0,0,0,0,0,11.90127404,0,0,0,0
05017,0,0,0,0,0,0,0,0,14.74705185,0,0,0,0
05019,0,0,0,0,0,0,0,0,19.38346923,0,0,0,0
05021,0,0,0,0,0,0,0,0,12.29011346,0,0,0,0
