FIPS,Deaths,Population,Crude Rate
19107,0,10225,Unreliable
19109,0,14908,Unreliable
19111,Suppressed,34055,Suppressed
19113,27,225909,11.95
19115,Suppressed,11169,Suppressed
19117,0,8645,Unreliable
19119,Suppressed,11811,Suppressed
19121,Suppressed,16249,Suppressed
19123,Suppressed,22000,Suppressed
19125,Suppressed,33407,Suppressed
19127,Suppressed,39981,Suppressed
19129,Suppressed,15063,Suppressed
19131,0,10569,Unreliable
19133,0,8679,Unreliable
19135,0,7790,Unreliable
19137,Suppressed,10003,Suppressed
19139,Suppressed,42929,Suppressed
19141,0,13840,Unreliable
19143,Suppressed,6040,Suppressed
19145,0,15249,Unreliable
19147,0,8929,Unreliable
19149,Suppressed,25095,Suppressed
19151,Suppressed,6740,Suppressed
19153,77,487204,15.8
19155,Suppressed,93533,Suppressed
19157,Suppressed,18699,Suppressed
19159,Suppressed,4968,Suppressed
19161,Suppressed,9719,Suppressed
19163,24,173283,13.85
19165,0,11578,Unreliable
19167,Suppressed,34909,Suppressed
19169,Suppressed,98105,Suppressed
19171,Suppressed,16904,Suppressed
19173,0,6191,Unreliable
19175,0,12359,Unreliable
19177,Suppressed,7020,Suppressed
19179,Suppressed,35205,Suppressed
19181,Suppressed,51056,Suppressed
19183,Suppressed,22141,Suppressed
19185,0,6401,Unreliable
19187,Suppressed,36277,Suppressed
19189,0,10518,Unreliable
19191,Suppressed,20029,Suppressed
19193,Suppressed,102539,Suppressed
19195,0,7453,Unreliable
19197,0,12690,Unreliable
